Author,Title,Type,Year,Handle
Chren Michal,Automated Knowledge Extraction,M,2009,Not found
Škola Michal,Data Visualization for the Knowledge Extraction,M,2009,Not found
Tvrdý Marek,Automation of Energy Efficient and Intelligent House,M,2009,Not found
Dvořák David,Application for Visualization of Structure and Behaviour of Inductive Models,N,2008,Not found
Novák Jakub,Anthropological data analysis by means of computational intelligence methods,N,2008,Not found
Špirk Jakub,Distributed Computation of Inductive Models,B,2008,Not found
Matoušek Jaroslav,Hybrid Inductive Models Topology Visualization,M,2008,Not found
Pavlíček Miloslav,Automated Data Preprocessing Module,M,2008,Not found
Pilný Aleš,Biological Signals Processing,M,2008,Not found
Samek Petr,Evaluation of Comparative Study in Reconditioning Centre,M,2008,Not found
Uličný Vít,Hybrid inductive models in PMML,M,2008,Not found
Kovářík Oleg,ANT Colony Optimization for Continuous Problems,M,2007,Not found
Málek Richard,Alternation of Meta-heuristic Algorithms with Runtime Analysis and Parameters Adaptation,M,2007,Not found
Nožka Jiří,Visual 3D Analysis of Neural Networks Behaviour,M,2007,Not found
Sejkora Tomáš,Medical Data Analysis by Means of Statistical Methods and SOM,M,2007,Not found
Doležel Jiří,Evolution algorithm for neural networks improvement,B,2006,Not found
Janošík Miroslav,Algorithms for Optimization of GAME networks,B,2006,Not found
Macek Ondřej,Self Organizing Map and its Extensions,B,2006,Not found
Novák Jakub,GMDH networks the KnowledgeMiner software,B,2006,Not found
Svoboda Ondřej,Bayesian methods in data mining,B,2006,Not found
Trlida Lukáš,XML representation of inductive models,B,2006,Not found
Drchal Jan,Evolutionary algorithms and neural networks,M,2006,Not found
Saidl Jan,Visualization as a tool for nature systems behaviour study,M,2006,Not found
Novák Jiří,The comparison of methods for noise cancelation,M,2005,Not found
Staněk Pavel,Statistical Evaluation of optimal inductive model topology,B,2005,Not found
